description,opinion
Value stocks 'worst for 100 years'  MarketWatch,Negative
Joe Biden just beat Donald Trump at his own game: Twitter  MarketWatch,Positive
Pelosi reports progress in still-stalemated stimulus talks  MarketWatch,Positive
Google's exclusive search deal with Apple said to be at heart of antitrust suit  MarketWatch,Positive
‘I am beyond hurt’: I took care of my mom for 12 years. She wants my sister to take over and won’t leave me her house  MarketWatch,Negative
I've been working at home during the pandemic — do I qualify for home office tax deductions?  MarketWatch,Neutral
Here's why the prospect of a Democratic clean sweep in November's elections is rattling a sleepy U.S. bond market  MarketWatch,Negative
President Trump loses big edge over Biden on the economy as election looms  MarketWatch,Neutral
Here’s the real cost of stock splits that Buffett knows and Apple and Tesla ignored  MarketWatch,Negative
"‘Don’t ever, ever underestimate the potential of the pandemic’: 5 reasons scientists say you should be afraid of COVID-19  MarketWatch",Negative
"McDonald's adds apple fritter, blueberry muffin and cinnamon roll to menu  MarketWatch",Neutral
"54 bullet points, 800 proposals: No matter Trump or Biden, implementing the winner's policies is going to be expensive  MarketWatch",Negative
AT&T stock on track to snap 10-day losing streak after big wireless subscriber beat  MarketWatch,Negative
Fortnite maker asks judge again to return game to Apple's app store  MarketWatch,Positive
Peter Strzok says he saw Trump as counterintelligence risk while at FBI — and still does  MarketWatch,Negative
Asian stocks mixed as investors wait for Wall Street to return from break  MarketWatch,Negative
QAnon conspiracy theory is on the ballot in some states this November  MarketWatch,Negative
The Trump administration wants to discourage your 401(k) from including ESG investment options  MarketWatch,Negative
"The pandemic has brought the personal computer back to life, with help from Zoom  MarketWatch",Positive
Microsoft’s new $499 Xbox Series X console is coming Nov. 10; Xbox Series S is $299 on same day  MarketWatch,Neutral
Trump: Kamala Harris as first female president ‘would be an insult to our country’  MarketWatch,Negative
AstraZeneca pauses coronavirus vaccine study after one illness  MarketWatch,Negative
Illumina's stock falls after $8 billion deal to buy Grail confirmed  MarketWatch,Negative
Payroll tax deferral messes with Social Security — one of the few good things in this crazy world  MarketWatch,Negative
Trump’s Space Force has its first deployment: to the United Arab Emirates  MarketWatch,Neutral
Intel stock plunges 10% after data-center sales drop more than expected  MarketWatch,Negative
Gold ends at lowest in a month as potential COVID-19 treatment boosts the stock market  MarketWatch,Negative
Finding extra income with remote work is easy with this $25 tool  MarketWatch,Positive
These schools have the largest endowments in the country — yet they're still raising tuition during the COVID pandemic  MarketWatch,Negative
Stop saying 'stocks are not the economy'  MarketWatch,Neutral
The stock market is rich but may be at a 'far more reasonable valuation level than traditional measures suggest'  MarketWatch,Negative
What landlords are saying about the CDC's eviction ban  MarketWatch,Neutral
"Gaps in the CDC’s eviction ban could leave some renters homeless, housing advocates say  MarketWatch",Negative
CDC's eviction moratorium doesn't automatically protect renters — here are the strict criteria you must meet  MarketWatch,Negative
"U.S. oil benchmark ends below $40 a barrel, down over 7% for the week  MarketWatch",Negative
"New Zealand records first COVID-19 death in three months, as virus return remains a mystery  MarketWatch",Negative
"This Cloud ETF May Be Expensive, But It's Worth It  MarketWatch",Positive
"As Dow jumps over 400 points, history shows investors are quick to brush off presidential health woes  MarketWatch",Positive
Not all 401(k) investors are as optimistic about their retirement accounts as President Trump  MarketWatch,Negative
The COVID-19 grind seems unbearable — but it’s not forever  MarketWatch,Positive
'Zoom-worthy' pieces are selling though jewelry expected to take a COVID-19 hit  MarketWatch,Positive
Should you appeal your Medicare IRMAA charges?  MarketWatch,Neutral
Microsoft Excel coding issue drives big spike in U.K. COVID tally  MarketWatch,Neutral
'The only Republican with morals is a former Republican': Mitt Romney gets full Twitter treatment  MarketWatch,Neutral
The Hemsworth brothers are selling their $4.9 million Malibu retreat  MarketWatch,Neutral
How canceled student-loan and mortgage debts could affect your taxes  MarketWatch,Negative
"Facebook Dating is taking on Tinder. Here's why its success isn’t guaranteed, warns this analyst  MarketWatch",Neutral
"There's now an alcohol-free, low-calorie Guinness from Diageo  MarketWatch",Positive
"Tesla is a 'must own' stock, says Wall Street analyst who returns to bullish stance after start-of-year downgrade  MarketWatch",Positive
"Dr. Fauci asks people NOT to politicize coronavirus: ‘We’ve been through a Depression, we’ve been through a World War. We pulled together through 9/11’  MarketWatch",Positive
Here are all the Stein Mart stores having liquidation sales  MarketWatch,Negative
"Stock market looks like 'Wile E. Coyote,' running off 'a cliff,' says expert  MarketWatch",Negative
"Buy in Europe, where stocks have been ‘brutally beaten up,’ says fund manager  MarketWatch",Negative
Americans worry the economy will suffer for a long time—but it hasn’t stopped them from spending  MarketWatch,Negative
Tax records show Trump has bank account in China: report  MarketWatch,Negative
Small-cap stocks typically lose in the fourth quarter and this group of wealthy investors are to blame  MarketWatch,Negative
Noble Energy's stock surges after Chevron confirms $5 billion buyout deal  MarketWatch,Positive
"Lawsuit accuses ex-Fox News anchor Ed Henry of rape; Hannity, Carlson, Kurtz accused of harassment  MarketWatch",Negative
Ballon d’Or — world football’s top individual award — will not be presented this year  MarketWatch,Negative
"GoDaddy restructuring to affect 814 employees, and provides upbeat revenue outlook  MarketWatch",Negative
"The stock market is poised for a 40% drop, warns economist who says the current climate feels a lot like 1929  MarketWatch",Negative
Your boss wants you back in the office — An employment law expert explains your rights  MarketWatch,Positive
Venture funding remains elusive for Black tech entrepreneurs  MarketWatch,Negative
"‘Maskne’ — yes, mask acne — is now a thing  MarketWatch",Positive
"Biden says ‘very top’ of government should call for mask wearing, in jab at Trump  MarketWatch",Positive
Don’t count Trump out yet — here’s how he can still win in November  MarketWatch,Positive
New Hong Kong security law includes harsh penalties for protesting  MarketWatch,Negative
Five things to know about Leicester: the U.K. city that’s key to preventing a second wave of coronavirus infections  MarketWatch,Positive
Boris Johnson hails his economic plan as a new ‘New Deal.’ Try ‘small deal’ instead  MarketWatch,Positive
"Fauci gives dire warning to Americans: 100,000 new coronavirus cases a day  MarketWatch",Negative
"Over 150 years after the Civil War, the Confederate flag loses prominence  MarketWatch",Negative
"These stocks, including Tesla and Apple, are the real winners for the second quarter of 2020  MarketWatch",Positive
Government tax watchdog: IRS should not waste time pursuing $1 billion in stimulus checks sent to dead people  MarketWatch,Positive
A dilemma facing college students during the pandemic: Delaying graduation could have long-term financial consequences  MarketWatch,Negative
"He’s 34 years old and owns $550 million worth of Apple — so why is he hoping the stock gets hammered, again?  MarketWatch",Negative
"Investing legend Burton Malkiel on day-trading millennials, the end of the 60/40 portfolio and more  MarketWatch",Positive
Americans haven’t been this unhappy in 50 years: poll  MarketWatch,Negative
IPO market braces for another busy week and Royalty Pharma becomes the biggest deal year-to-date  MarketWatch,Positive
Royalty Pharma raises $2.2 billion in biggest IPO of the year so far  MarketWatch,Positive
U.S. casinos make a push for cashless gambling  MarketWatch,Neutral
IQIYI's stock soars on premarket-leading volume after report Tencent aims to buy a large stake  MarketWatch,Positive
"Shoppers will pay more for the same item online versus in stores under new COVID-19 conditions, experts say  MarketWatch",Negative
The July 15 tax deadline is almost here — here’s one good reason NOT to worry  MarketWatch,Neutral
Trump says he wants more stimulus checks: ‘I support actually larger numbers than the Democrats’  MarketWatch,Neutral
"Lemonade prices IPO at $29 a share, higher than raised range  MarketWatch",Neutral
Insurer Lemonade raises price range for planned IPO  MarketWatch,Neutral
"Manufacturers come back strong in June, ISM finds, but ‘it’s a slow recovery at this point’  MarketWatch",Negative
People donated millions of dollars to the wrong Black Lives Matter foundation — read this before you give to any charity  MarketWatch,Negative
FedEx stock soars as online shopping sprees boost company’s quarterly results  MarketWatch,Positive
"The Federal Reserve won’t allow companies to fail, and that weakens the U.S.  MarketWatch",Positive
"Fed’s Daly defends $3 trillion in asset purchases, saying they helped broader sector of Americans than just financial markets  MarketWatch",Positive
"If Intel lost Apple as a customer, it would be good news  MarketWatch",Positive
"The rise of mom-and-pop investors in the stock market will ‘end in tears,’ warns billionaire Cooperman  MarketWatch",Negative
Zoom Video closes at record as tech stocks benefiting from pandemic rally on infection rebound  MarketWatch,Negative
"‘There’s absolutely no reason to own U.S. equities right now,’ strategist says, citing ‘an unholy speculative mix’  MarketWatch",Negative
Here’s everything coming to Netflix in July 2020 — and what’s leaving  MarketWatch,Neutral
"U.S. to hit Japan-like levels of government debt by 2050, budget group says  MarketWatch",Negative
T-Mobile announces rights offering for nearly 20 million shares  MarketWatch,Neutral
"Twitter bans far-right meme maker, who’s been reposted by Trump, for copyright violations  MarketWatch",Negative
"Hospitals must disclose actual prices for tests and procedures, court rules  MarketWatch",Positive
"Transocean, Dolphin Drilling make new bid for Seadrill - Reuters  Seeking Alpha",Neutral
"QFIN Shareholder Reminder: Kessler Topaz Meltzer & Check, LLP Reminds Shareholders of 360 DigiTech, Inc. of Deadline in Securities Fraud Class Action Lawsuit  Yahoo Finance Australia",Negative
Disney's Q3 Results Highlight Advantage Against Netflix  Nasdaq,Positive
Dick's Sporting Goods analysts optimistic after strong Foot Locker earnings  Seeking Alpha,Positive
Sorento Therapeutics Shares Move Lower; Traders Circulate TipRanks Article Titled 'Will Sorrento's Promising COVID-19 Vaccine Results Boost Stock?'  Benzinga,Negative
Lawmakers Seeking to Get Afghan Allies on Kabul Flights Ask Biden to ‘Try Harder’  The Wall Street Journal,Neutral
Tech Stocks Helping Lead Advance On Wall Street  Nasdaq,Positive
"UPDATE 1-Britain reports 37,314 new COVID cases, 114 deaths  Yahoo Finance Australia",Negative
Advanced Container Technologies Unveils New Products at ASD Market Week  Yahoo Finance Australia,Positive
Biden to address evacuation of Americans and Afghan allies from Kabul after Taliban takeover  CNBC,Positive
Don't Race Out To Buy Fiera Capital Corporation (TSE:FSZ) Just Because It's Going Ex-Dividend  Yahoo Finance,Negative
NYC Requires Covid Vaccination for Student Athletes and Coaches  Bloomberg,Positive
The adventure that is the first day of class inspires these books for the youngest readers.,Positive
He left the power to mandate masks where it belongs—with the people.,Positive
"Canada began allowing entry to fully vaccinated U.S. tourists beginning Aug. 9, but U.S. restrictions remain.",Positive
Hong Kong: Market fall into bear territory  Business Standard,Negative
AAVAS Financiers promoters sell shares worth over Rs 751 crore  Business Standard,Positive
Why Spotify Shares Are Trading Higher Today  Benzinga,Positive
"Ujjivan SFB likely to elevate Carol Furtado as interim MD, CEO next week  Business Standard",Neutral
Weak Guidance Keeps Alteryx (NYSE:AYX) Spiraling Down  Yahoo Finance,Negative
"Canadian Nickel Miner Still Wants BHP Takeover, Shunning Forrest  Financial Post",Negative
Lebanese Brace for Higher Fuel Prices as Government Cuts Subsidy  Bloomberg,Negative
"U.S. Weekly FundFlows Insight Report: Despite Market Declines, Equity ETFs Attract Their Largest Weekly Net Inflows Since March 24  Seeking Alpha",Positive
"Cellebration Life Sciences, Inc. Advances Clinical Trial to Address Type 2 Diabetes - Benzinga  Benzinga",Neutral
London office market recovers yet risks are ‘bubbling under the surface’  Financial Times,Neutral
Week Ahead - Will We Have Action In Jackson?  Seeking Alpha,Neutral
What Joe Biden Has Wrought in Afghanistan  The Wall Street Journal,Neutral
Global Industry Analysts Predicts the World Cloud Based Solutions for Automotive Market to Reach $126.7 Billion by 2026  Yahoo Finance,Positive
Job postings in most sectors above pre-pandemic baseline: Indeed  Yahoo Finance,Positive
"SHAREHOLDER ACTION ALERT: The Schall Law Firm Announces the Filing of a Class Action Lawsuit Against BlueCity Holdings Limited and Encourages Investors with Losses in Excess of $100,000 to Contact the Firm  Yahoo Finance",Neutral
NFT-Focused Topps Abandons Plan to Go Public in SPAC Merger  Yahoo Finance,Neutral
Global Cloud Based Data Management Services Market to Reach $63.2 Billion by 2026 - Benzinga  Benzinga,Positive
Weekend reads: What to do if a company you trust has failed to protect your personal data  MarketWatch,Neutral
Roller coaster closed after metal object flies off ride and injures woman  MarketWatch,Neutral
"Ross Stores gave second-half guidance that was too conservative, says Wells Fargo  MarketWatch",Neutral
Voyager vs. Coinbase • Exchange Comparison • Benzinga  Benzinga,Neutral
Hydraulic Fracturing Market worth $50.2 billion by 2026 - Exclusive Report by MarketsandMarkets™ - Benzin  Benzinga,Positive
VidCon 2021 Canceled After Rise in COVID Cases  Yahoo Finance,Negative
"Why Bitcoin, Ethereum, and Dogecoin Are All Soaring Today  Motley Fool",Positive
Opposition to organise joint protests across country from Sept 20-30  Business Standard,Positive
Ross Stores Earnings: What Wall Street Is Saying  TheStreet,Positive
Glory Star Expected to Further Increase Profitability  Yahoo Finance,Positive
FDA classifies recall of Cardinal Health's catheter devices as most serious  Yahoo Finance,Negative
Hydraulic Fracturing Market worth $50.2 billion by 2026 - Exclusive Report by MarketsandMarkets™  Yahoo Finance,Positive
"United Fire Group, Inc. Declares a Common Stock Quarterly Cash Dividend of $0.15 per Share  Yahoo Finance",Positive
"Vietnamese Crawler Excavator Market Report Assessment & Forecasts 2021-2027: Vietnam's Mini Crawler Excavator Market is Forecast to Reach 605 units by 2027, Growing at a CAGR of 8.82%  Yahoo Finance",Positive
